index,timestamp,datetime,soil_moisture_raw,soil_temp_c,air_temp_c,air_humidity_pct,lux,checksum_ok
0,1773700996,2026-03-16 22:43:16,2865,19.06,19.07,45.44,3.3,OK
1,1773701596,2026-03-16 22:53:16,2909,18.37,18.97,45.12,3.3,OK
2,1773702196,2026-03-16 23:03:16,2956,18.25,18.92,47.88,3.3,OK
3,1773702796,2026-03-16 23:13:16,2993,18.18,19.11,46.55,3.3,OK
4,1773703396,2026-03-16 23:23:16,3015,18.12,18.52,46.42,3.3,OK
5,1773703996,2026-03-16 23:33:16,3061,18.00,22.01,44.23,0.0,OK
6,1773704596,2026-03-16 23:43:16,3103,18.00,22.39,44.55,0.0,OK
7,1773705196,2026-03-16 23:53:16,3116,17.93,22.58,45.18,0.0,OK
8,1773705796,2026-03-17 00:03:16,3115,18.00,22.65,45.58,0.0,OK
9,1773706396,2026-03-17 00:13:16,3161,18.18,22.81,45.83,0.0,OK
10,1773706996,2026-03-17 00:23:16,3176,18.37,22.92,46.28,0.0,OK
11,1773707596,2026-03-17 00:33:16,3184,18.56,22.85,46.85,0.0,OK
12,1773708196,2026-03-17 00:43:16,3222,18.75,22.88,47.17,0.0,OK
13,1773708796,2026-03-17 00:53:16,3233,18.93,22.97,47.32,0.0,OK
14,1773709396,2026-03-17 01:03:16,3231,19.18,23.01,47.75,0.0,OK
15,1773709996,2026-03-17 01:13:16,3268,19.37,23.06,48.12,0.0,OK
16,1773710596,2026-03-17 01:23:16,3276,19.56,23.00,48.75,0.0,OK
17,1773711196,2026-03-17 01:33:16,3299,19.75,23.12,48.82,0.0,OK
18,1773711796,2026-03-17 01:43:16,3307,19.87,22.98,49.42,0.0,OK
19,1773712396,2026-03-17 01:53:16,3315,20.06,23.04,49.39,0.0,OK
20,1773712996,2026-03-17 02:03:16,3338,20.18,22.78,49.50,0.0,OK
21,1773713596,2026-03-17 02:13:16,3362,20.31,22.79,50.10,0.0,OK
22,1773714196,2026-03-17 02:23:16,3382,20.37,23.04,50.15,0.0,OK
23,1773714796,2026-03-17 02:33:16,3415,20.50,22.97,49.95,0.0,OK
24,1773715396,2026-03-17 02:43:16,3428,20.56,23.01,50.68,0.0,OK
25,1773715996,2026-03-17 02:53:16,3436,20.62,23.13,50.38,0.0,OK
26,1773716596,2026-03-17 03:03:16,3435,20.68,22.92,51.26,0.0,OK
27,1773717196,2026-03-17 03:13:16,3435,20.75,23.04,51.34,0.0,OK
28,1773717796,2026-03-17 03:23:16,3469,20.81,22.92,51.35,0.0,OK
29,1773718396,2026-03-17 03:33:16,3491,20.87,22.88,51.83,0.0,OK
30,1773718996,2026-03-17 03:43:16,3516,20.93,23.02,51.78,0.0,OK
31,1773719596,2026-03-17 03:53:16,3524,20.93,22.93,51.69,0.0,OK
32,1773720196,2026-03-17 04:03:16,3523,21.00,22.92,52.29,0.0,OK
33,1773720796,2026-03-17 04:13:16,3520,21.06,23.09,52.37,0.0,OK
34,1773721396,2026-03-17 04:23:16,3528,21.06,22.93,52.31,0.0,OK
35,1773721996,2026-03-17 04:33:16,3560,21.06,23.06,52.82,0.0,OK
36,1773722596,2026-03-17 04:43:16,3532,21.12,23.13,53.36,0.0,OK
37,1773723196,2026-03-17 04:53:16,3545,21.12,23.09,53.85,0.0,OK
38,1773723796,2026-03-17 05:03:16,3555,21.18,23.14,52.90,0.0,OK
39,1773724396,2026-03-17 05:13:16,3560,21.18,23.09,53.30,0.0,OK
40,1773724996,2026-03-17 05:23:16,3569,21.25,23.09,53.37,0.0,OK
41,1773725596,2026-03-17 05:33:16,3572,21.25,23.10,53.35,0.0,OK
42,1773726196,2026-03-17 05:43:16,3585,21.31,23.07,53.28,0.0,OK
43,1773726796,2026-03-17 05:53:16,3602,21.31,23.15,53.38,0.8,OK
44,1773727396,2026-03-17 06:03:16,3618,21.31,22.97,54.03,10.8,OK
45,1773727996,2026-03-17 06:13:16,3631,21.37,23.11,53.84,49.1,OK
46,1773728596,2026-03-17 06:23:16,3607,21.37,23.08,54.06,152.5,OK
47,1773729196,2026-03-17 06:33:16,3634,21.37,23.28,53.67,396.6,OK
48,1773729796,2026-03-17 06:43:16,3666,21.43,23.50,52.81,868.3,OK
49,1773730396,2026-03-17 06:53:16,3648,21.37,23.83,52.31,1405.8,OK
50,1773730996,2026-03-17 07:03:16,3694,21.43,24.67,50.37,2584.1,OK
51,1773731596,2026-03-17 07:13:16,3697,21.50,26.08,47.01,4560.0,OK
52,1773732196,2026-03-17 07:23:16,3724,21.56,27.03,45.09,4067.4,OK
53,1773732796,2026-03-17 07:33:16,3712,21.68,28.29,42.10,4648.3,OK
54,1773733396,2026-03-17 07:43:16,3712,21.87,29.17,40.19,4098.9,OK
55,1773733996,2026-03-17 07:53:16,3724,22.18,29.76,39.28,5437.2,OK
56,1773734596,2026-03-17 08:03:16,3720,22.50,28.93,40.03,6234.7,OK
57,1773735196,2026-03-17 08:13:16,3722,22.87,27.95,42.13,550.2,OK
58,1773735796,2026-03-17 08:23:16,3713,23.25,27.58,42.36,921.9,OK
59,1773736396,2026-03-17 08:33:16,3666,23.68,22.79,38.70,540.2,OK
60,1773736996,2026-03-17 08:43:16,3639,24.12,21.35,40.32,3571.4,OK
61,1773737596,2026-03-17 08:53:16,3651,24.37,23.43,38.93,4123.3,OK
62,1773738196,2026-03-17 09:03:16,3654,24.43,23.16,39.54,3794.1,OK
63,1773738796,2026-03-17 09:13:16,3653,24.37,22.10,41.57,3560.8,OK
64,1773739396,2026-03-17 09:23:16,3675,24.18,22.56,41.45,3369.9,OK
65,1773739996,2026-03-17 09:33:16,3665,24.00,22.67,40.11,3259.1,OK
66,1773740596,2026-03-17 09:43:16,3627,23.75,22.31,40.55,3280.8,OK
67,1773741196,2026-03-17 09:53:16,3651,23.50,22.23,41.22,3168.3,OK
68,1773741796,2026-03-17 10:03:16,3666,23.25,22.52,41.09,3037.5,OK
69,1773742396,2026-03-17 10:13:16,3662,23.00,21.89,41.13,2864.1,OK
70,1773742996,2026-03-17 10:23:16,3676,22.81,22.37,40.05,2725.8,OK
71,1773743596,2026-03-17 10:33:16,3651,22.62,22.70,37.57,2531.6,OK
72,1773744196,2026-03-17 10:43:16,3644,22.43,22.68,42.34,2315.0,OK
73,1773744796,2026-03-17 10:53:16,3630,22.25,22.66,37.25,2038.3,OK
74,1773745396,2026-03-17 11:03:16,3631,22.12,22.51,37.12,1835.8,OK
75,1773745996,2026-03-17 11:13:16,3618,22.00,22.54,40.40,1754.1,OK
76,1773746596,2026-03-17 11:23:16,3627,21.87,22.26,36.97,1727.4,OK
